timestamp, temperature_gpu, power_draw_w, power_limit_w, utilization_gpu, utilization_memory, memory_used_mib, memory_free_mib, clocks_throttle_reasons_active, clocks_current_sm_mhz, clocks_applications_graphics_mhz, clocks_current_memory_mhz, clocks_max_memory_mhz, pstate
                                                              
GPU 0     0.000        0.000        0.000        10335369                    8870468                     0                           0                           
ID                                                                                                                                                               
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
#Entity   SMACT        SMOCC        DRAMA        PCITX                       PCIRX                       NVLTX                       NVLRX                       
ID                                                                                                                                                               
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
#Entity   SMACT        SMOCC        DRAMA        PCITX                       PCIRX                       NVLTX                       NVLRX                       
ID                                                                                                                                                               
GPU 0     0.000        N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
#Entity   SMACT        SMOCC        DRAMA        PCITX                       PCIRX                       NVLTX                       NVLRX                       
ID                                                                                                                                                               
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
#Entity   SMACT        SMOCC        DRAMA        PCITX                       PCIRX                       NVLTX                       NVLRX                       
ID                                                                                                                                                               
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
#Entity   SMACT        SMOCC        DRAMA        PCITX                       PCIRX                       NVLTX                       NVLRX                       
ID                                                                                                                                                               
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
#Entity   SMACT        SMOCC        DRAMA        PCITX                       PCIRX                       NVLTX                       NVLRX                       
ID                                                                                                                                                               
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
#Entity   SMACT        SMOCC        DRAMA        PCITX                       PCIRX                       NVLTX                       NVLRX                       
ID                                                                                                                                                               
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     0.000        0.000        0.000        521168                      15635                       0                           0                           
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
#Entity   SMACT        SMOCC        DRAMA        PCITX                       PCIRX                       NVLTX                       NVLRX                       
ID                                                                                                                                                               
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
#Entity   SMACT        SMOCC        DRAMA        PCITX                       PCIRX                       NVLTX                       NVLRX                       
ID                                                                                                                                                               
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
#Entity   SMACT        SMOCC        DRAMA        PCITX                       PCIRX                       NVLTX                       NVLRX                       
ID                                                                                                                                                               
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
#Entity   SMACT        SMOCC        DRAMA        PCITX                       PCIRX                       NVLTX                       NVLRX                       
ID                                                                                                                                                               
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
#Entity   SMACT        SMOCC        DRAMA        PCITX                       PCIRX                       NVLTX                       NVLRX                       
ID                                                                                                                                                               
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
#Entity   SMACT        SMOCC        DRAMA        PCITX                       PCIRX                       NVLTX                       NVLRX                       
ID                                                                                                                                                               
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     0.000        N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          0.000        526378                      N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
#Entity   SMACT        SMOCC        DRAMA        PCITX                       PCIRX                       NVLTX                       NVLRX                       
ID                                                                                                                                                               
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
#Entity   SMACT        SMOCC        DRAMA        PCITX                       PCIRX                       NVLTX                       NVLRX                       
ID                                                                                                                                                               
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
